"Access BANK CAMEROON","Access BANK"
"Access Bank Tanzania","Access Bank"
"ACCESS HAITI","ACCESS"
"Access Lebanon","Access"
"Access Smart Solutions India","Access Smart Solutions"
"Access UK","Access"
"ADMINS LEBANON","ADMINS"
"ADMINS UA","ADMINS"
"Air Canada","Air"
"Air Liquide IT","Air Liquide"
"Air New Zealand","Air"
"Air2net India","Air2net"
"Airline Internet Solutions India","Airline Internet Solutions"
"Airpay TW","Airpay"
"Airport Authority Hong Kong","Airport Authority"
"Airport Railroad Co","Airport Railroad"
"Airports Fiji","Airports"
"Airway Communication Services India","Airway Communication Services"
"Airways Corporation of New Zealand","Airways Corporation"
"Alliance Broadband Bd","Alliance Broadband"
"Americatel Colombia","Americatel"
"AMNET HONDURAS","AMNET"
"AMNET US","AMNET"
"Andesat Argentina","Andesat"
"Andesat Peru","Andesat"
"Applied Satellite Technology Australia","Applied Satellite Technology"
"Applied Satellite Technology Systems US","Applied Satellite Technology Systems"
"ARTEL DOMINICANA","ARTEL"
"ATI Australia","ATI"
"Atomic IT","Atomic"
"Audatex SA","Audatex"
"AXIONE Gabon","AXIONE"
"AXIONET IOT","AXIONET"
"BANCO AGRARIO DE COLOMBIA","BANCO AGRARIO"
"Banco BAI Cabo Verde","Banco BAI"
"BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA","BANCO BILBAO VIZCAYA ARGENTARIA"
"Banco Caixa Geral Totta de Angola","Banco Caixa Geral Totta de"
"Banco Central de Chile","Banco Central"
"BANCO CENTRAL DE LA REPUBLICA ARGENTINA","BANCO CENTRAL DE LA REPUBLICA"
"BANCO CENTRAL DE VENEZUELA","BANCO CENTRAL"
"Banco Central do Brasil","Banco Central"
"BANCO CUSCATLAN SV","BANCO CUSCATLAN"
"Banco de Cabo Verde","Banco de"
"Banco de Chile","Banco"
"Banco de Costa Rica","Banco de"
"BANCO DE CREDITO DE BOLIVIA","BANCO DE CREDITO"
"Banco de Credito HFS Panama","Banco de Credito HFS"
"BANCO DE CRÉDITO DEL PERÚ","BANCO DE CRÉDITO"
"Banco de Espana","Banco"
"Banco de Fomento Angola","Banco de Fomento"
"Banco de Mexico","Banco"
"Banco de Venezuela","Banco"
"BANCO DEL ESTADO DE CHILE","BANCO DEL ESTADO"
"BANCO DO BRASIL","BANCO"
"BANCO DO NORDESTE DO BRASIL","BANCO DO NORDESTE"
"BANCO MERCANTIL DO BRASIL","BANCO MERCANTIL"
"BANCO NACIONAL DE BOLIVIA","BANCO NACIONAL"
"BANCO NACIONAL DE PANAMA","BANCO NACIONAL DE"
"BANCO PAN","BANCO"
"BANCO PROMERICA COSTA RICA","BANCO PROMERICA"
"Bank CIC (Schweiz)","Bank CIC"
"Bank ICBC Indonesia","Bank ICBC"
"Bank Indonesia","Bank"
"Bank J. Van Breda & Co","Bank J. Van Breda &"
"Bank Note Paper Mill India","Bank Note Paper Mill"
"Bank Of Africa Kenya","Bank Of Africa"
"Bank of America","Bank"
"Bank Of China (Hong Kong)","Bank Of China"
"Bank of Communications (Hong Kong)","Bank of Communications"
"Bank of Ghana","Bank"
"Bank Of India","Bank"
"Bank of New Zealand","Bank"
"Bank of South Pacifc (Fiji)","Bank of South Pacifc"
"Bank of Tanzania","Bank"
"Bank Saderat Iran","Bank Saderat"
"Bank Shinhan Indonesia","Bank Shinhan"
"Bank UOB Indonesia","Bank UOB"
"Barclays Bank (Suisse)","Barclays Bank"
"bdCalling IT","bdCalling"
"Beijing Kouding Technology Co","Beijing Kouding Technology"
"Bell Teleservices India","Bell Teleservices"
"Bemobile Solomon Islands","Bemobile"
"BGC (Australia)","BGC"
"BioClinica India","BioClinica"
"BITNET DOMINICANA","BITNET"
"Black & Veatch (SEA)","Black & Veatch"
"Brigham Young University Hawaii","Brigham Young University"
"Broadband Collaborative Solutions (USA)","Broadband Collaborative Solutions"
"Broadband Gibraltar","Broadband"
"Broadband VI","Broadband"
"Business Connexion Mozambique","Business Connexion"
"Cable Bahamas","Cable"
"Cable Norte Tv","Cable Norte"
"Cable TV","Cable"
"Cablexpress TV","Cablexpress"
"CANON BUSINESS PROCESS SERVICES PHILIPPINES","CANON BUSINESS PROCESS SERVICES"
"Cash Services Australia","Cash Services"
"Castle & Cooke Hawaii","Castle & Cooke"
"Castle & Cooke North Carolina","Castle & Cooke"
"CBC EMEA","CBC"
"Cboe Clear Europe","Cboe"
"Cboe Europe","Cboe Clear"
"CCI SOUTH AFRICA","CCI"
"Cellusys IoT","Cellusys"
"Central Bank of India","Central Bank"
"Central Bank of kenya","Central Bank"
"Central Bank of the Republic of Armenia","Central Bank of the"
"CHARTER COMMUNICATIONS INTERNATIONAL DE VENEZUELA","CHARTER COMMUNICATIONS INTERNATIONAL"
"CHARTER COMMUNICATIONS INTERNATIONAL PANAMA","CHARTER COMMUNICATIONS INTERNATIONAL"
"City of Redmond Washington","City of Redmond"
"City of Richmond Virginia","City of Richmond"
"City of Roseville - Minnesota","City of Roseville"
"Clark County Nevada","Clark County"
"Clark County WA","Clark County"
"Cloud Center Finland","Cloud Center"
"Cloud Computing HK","Cloud Computing"
"Cloud Connect WA","Cloud Connect"
"Cloud Digital Cambodia","Cloud Digital"
"Cloud Europe","Cloud"
"Cloud Himalaya Inc. Nepal","Cloud Himalaya Inc."
"Cloud IT","Cloud"
"Cloud Network Services (HK)","Cloud Network Services"
"Cloud Provider USA","Cloud Provider"
"Cloud Services Kazakhstan","Cloud Services"
"Cloud Temple Tunisia","Cloud Temple"
"Cloud365 Australia","Cloud365"
"Cloudex Pakistan","Cloudex"
"CloudRadium (HK)","CloudRadium"
"CloudSource IT","CloudSource"
"Clouvider Europe","Clouvider"
"CMB Daejeon Broadcasting Co","CMB Daejeon Broadcasting"
"CMB Monaco","CMB"
"CMB Sejong Broadcasting Co","CMB Sejong Broadcasting"
"Colocation America","Colocation"
"Columbia County Georgia","Columbia County"
"Columbus Communications Curacao","Columbus Communications"
"Columbus Communications Grenada","Columbus Communications"
"Columbus Networks Panama","Columbus Networks"
"Columbus Networks USA","Columbus Networks"
"Commonwealth Bank of Australia","Commonwealth Bank"
"COMSATES NIGER","COMSATES"
"Concentrix Daksh Services India","Concentrix Daksh Services"
"Concentrix Daksh Services Philippines","Concentrix Daksh Services"
"Concordia University Nebraska","Concordia University"
"Concordia University Wisconsin","Concordia University"
"CONEX TV","CONEX"
"CONEXION COMERCIALIZACION DE SERVICIOS DE TELECOMUNICACIONES EMPALMERIA Y CONSTRUCCION DE REDES HFC DEL SUR COLOMBIA","CONEXION COMERCIALIZACION DE SERVICIOS DE TELECOMUNICACIONES EMPALMERIA Y CONSTRUCCION DE REDES HFC DEL SUR"
"CONEXT VENEZUELA","CONEXT"
"Connected Australia","Connected"
"CONNET - RO","CONNET"
"Convergence Communications de Venezuela","Convergence Communications"
"Convergia Argentina","Convergia"
"CoreTech Bulgaria","CoreTech"
"Coretel America","Coretel"
"Cortex IT","Cortex"
"CPA Australia","CPA"
"CPA GLOBAL SUPPORT SERVICES INDIA","CPA GLOBAL SUPPORT SERVICES"
"CPS - IT","CPS"
"Datacenter Luxembourg","Datacenter"
"Dauphin Telecom Guadeloupe","Dauphin Telecom"
"Departemen Luar Negeri Indonesia","Departemen Luar Negeri"
"Departemen Luar Negeri Republik Indonesia","Departemen Luar Negeri"
"DGTS Germany","DGTS"
"DGTS USA","DGTS"
"DIAMOND TRUST BANK TANZANIA","DIAMOND TRUST BANK"
"DIAMOND TRUST BANK UGANDA","DIAMOND TRUST BANK"
"DIGICEL ANTILLES FRANCAISES GUYANE","DIGICEL ANTILLES FRANCAISES"
"Digicom Pakistan","Digicom"
"DIGITAL CLASSIFIEDS FRANCE","DIGITAL CLASSIFIEDS"
"DIGITAL COMUNICATIONS DE MEXICO","DIGITAL COMUNICATIONS"
"DIGITAL SATELITE LR","DIGITAL SATELITE"
"DIGITAL SATELLITE INDONESIA","DIGITAL SATELLITE"
"DIGITAL WIRELESS INDONESIA","DIGITAL WIRELESS"
"DIRECTV Latin America","DIRECTV Latin"
"Diveo Argentina","Diveo"
"Diveo Uruguay","Diveo"
"DNET BRASIL","DNET"
"Edge Cloud (HK)","Edge Cloud"
"Edge Cloud (SG)","Edge Cloud"
"EGT-Kommunikationstechnik UG","EGT-Kommunikationstechnik"
"EMG Belgium","EMG"
"EMG Nederland","EMG"
"Engage Australia","Engage"
"Enterprise Services France","Enterprise Services"
"Enterprise Services Information Security UK","Enterprise Services Information Security"
"Enterprise Services Italia","Enterprise Services"
"Enterprise Services Sverige","Enterprise Services"
"EPS LT","EPS"
"EPS US","EPS"
"EQUINIX COLOMBIA INC. SUCURSAL COLOMBIA","EQUINIX COLOMBIA INC. SUCURSAL"
"EQUITY BANK RWANDA","EQUITY BANK"
"Equity Bank Tanzania","Equity Bank"
"EQUITY BANK UGANDA","EQUITY BANK"
"Evident Technology Center Europe","Evident Technology Center"
"EXL SERVICE.COM INDIA","EXL SERVICE.COM"
"EXTREME WI","EXTREME"
"Falcon (America)","Falcon"
"FIBERNET ARGENTINA","FIBERNET"
"Fibernet Finland","Fibernet"
"FIBERNET TV","FIBERNET"
"FIBMESH IN","FIBMESH"
"First American (India)","First"
"First Digital TV","First Digital"
"First Hawaiian","First"
"First n Fast IT","First n Fast"
"Firstcom Europe","Firstcom"
"Firstline IT","Firstline"
"Flexential Colorado","Flexential"
"FNETLINK CO","FNETLINK"
"Freecomm Hong Kong","Freecomm"
"Future AI","Future"
"GBM de Panamá","GBM"
"Geetoo Technology SK","Geetoo Technology"
"Geidea Technology Co","Geidea Technology"
"Global Network Solutions IBM Japan","Global Network Solutions IBM"
"Global Network Telecomunicações do Brasil","Global Network Telecomunicações"
"Global Network USA","Global Network"
"Globalnet Italia","Globalnet"
"Government of the District of Columbia","Government of the"
"Government of the Republic of Namibia","Government of the"
"Granat Ukraine","Granat"
"Grand America","Grand"
"Green Dot Grenada","Green Dot"
"GRUPO CG","GRUPO"
"GRUPO IN","GRUPO"
"GRUPO MEGA FLASH SERVICOS E COM","GRUPO MEGA FLASH SERVICOS E"
"GTD COLOMBIA","GTD"
"GTD PERÚ","GTD"
"GVA Congo","GVA"
"GVA Cote d'Ivoire","GVA"
"Hamilton County Ohio","Hamilton County"
"Host Europe","Host"
"Hosted America","Hosted"
"Hoster kg","Hoster"
"Hosting eXperts Switzerland","Hosting eXperts"
"Hosting Solutions (EMEA)","Hosting Solutions"
"Hosting Ukraine","Hosting"
"ICOM Bangladesh","ICOM"
"ICT CANADA","ICT"
"ICT Poland","ICT"
"ICTSI DR CONGO","ICTSI DR"
"IDS Bangladesh","IDS"
"IGT TECHNOLOGIES PHILIPPINES","IGT TECHNOLOGIES"
"Infinity IT","Infinity"
"Infinity Telecom SK","Infinity Telecom"
"Inform-Service TV","Inform-Service"
"Inq. Digital Nigeria","Inq. Digital"
"Inspiro Relia US","Inspiro Relia"
"Integral Solutions Myanmar","Integral Solutions"
"Integral UK","Integral"
"Intel Corporation - Dupont WA","Intel Corporation - Dupont"
"Inteliglobe USA","Inteliglobe"
"Intelle Comunicações do Brasil","Intelle Comunicações"
"Intellectica Systems India","Intellectica Systems"
"Intellegent Systems Bulgaria","Intellegent Systems"
"Intelligent Zone for General trading Communications Services Real State Investments & Commercial agencies Co","Intelligent Zone for General trading Communications Services Real State Investments & Commercial agencies"
"Interdotnet Argentina","Interdotnet"
"Interdotnet do Brasil","Interdotnet"
"Interlink Ireland","Interlink"
"Internet Access HK","Internet Access"
"Internet America","Internet"
"Internet Argentina","Internet"
"Internet Association of Australia","Internet Association"
"INTERNET COMPANY OF NEW ZEALAND","INTERNET COMPANY"
"Internet Connection USA","Internet Connection"
"INTERNET CZ","INTERNET"
"Internet de Colombia","Internet"
"Internet Exchange Nepal","Internet Exchange"
"INTERNET HELLAS","INTERNET"
"INTERNET Indiana","INTERNET"
"Internet Maine","Internet"
"Internet Mississippi","Internet"
"Internet Oklahoma","Internet"
"Internet Panama","Internet"
"Internet Puissance Plus Burkina","Internet Puissance Plus"
"Internet Securities Bulgaria","Internet Securities"
"Internet service provider association - DRC","Internet service provider association"
"Internet Service Provider in China","Internet Service Provider in"
"Internet Services of Central Florida","Internet Services of Central"
"INTERNET SOLUTIONS NETWORK PERU","INTERNET SOLUTIONS NETWORK"
"INTERNET TELECOMUNICATION COMPANY DE GUATEMALA S.A. SUCURSAL EL SALVADOR","INTERNET TELECOMUNICATION COMPANY DE GUATEMALA S.A. SUCURSAL"
"INTERNET TELECOMUNICATION COMPANY DE GUATEMALA","INTERNET TELECOMUNICATION COMPANY"
"Internet TV","Internet"
"INTERNET Y TELECOMUNICACIONES DE COLOMBIA","INTERNET Y TELECOMUNICACIONES"
"Internetport Sweden","Internetport"
"IP Australia","IP"
"IP Com","IP"
"IP SERVERONE SOLUTIONS (HK)","IP SERVERONE SOLUTIONS"
"IP Telecom Bulgaria","IP Telecom"
"IP Telecom SA","IP Telecom"
"IPC FRANCE","IPC"
"IPV7 SERVICOS DE TELECOMUNICACOES BRASIL","IPV7 SERVICOS DE TELECOMUNICACOES"
"IPX Equatorial Guinea","IPX"
"IQ NET (NSW)","IQ NET"
"ISP NET LA","ISP NET"
"ISP SUR","ISP"
"ISPhone Australasia","ISPhone"
"ITM POLAND","ITM"
"JETWAY BROADBAND INDIA","JETWAY BROADBAND"
"Johnson County Iowa","Johnson County"
"Johnson County Kansas","Johnson County"
"AB ROSSIYA","AB"
"Development Bank of the Republic of Belarus","Development Bank of the"
"DPD Rus","DPD"
"ENERGO-PRO Georgia","ENERGO-PRO"
"Evrasia Telecom Ru","Evrasia Telecom"
"IOT","JSC"
"Kolomenskoe TV","Kolomenskoe"
"People's Savings Bank Kazakhstan","People's Savings Bank"
"Risk Management and Insurance Company Global Benefits Georgia","Risk Management and Insurance Company Global Benefits"
"Rust Russia","Rust"
"Teleradiocompany Lux","Teleradiocompany"
"The Auction house of the Russian Federation","The Auction house of the"
"TRADING HOUSE GUM","TRADING HOUSE"
"VTB Bank Georgia","VTB Bank"
"Wissol Petroleum Georgia","Wissol Petroleum"
"Wuerth Russia","Wuerth"
"Kaopu Cloud HK","Kaopu Cloud"
"Kasumi Networks NA","Kasumi Networks"
"Kenya Commercial Bank (Tanzania)","Kenya Commercial Bank"
"KHS USA","KHS"
"KODIAK NETWORKS INDIA","KODIAK NETWORKS"
"Lake Michigan","Lake"
"LeeWrangler Hong Kong","LeeWrangler"
"LeeWrangler Netherlands","LeeWrangler"
"Lifestream Kazakhstan","Lifestream"
"Lightwave USA","Lightwave"
"Baikal-Servis TK","Baikal-Servis"
"BIGNET UKRAINE","BIGNET"
