"A1 Bulgaria","A1"
"A1 Hrvatska","A1"
"A1 Srbija","A1"
"A1 Telekom Austria","A1 Telekom"
"A100 ROW SERVICOS DE DADOS BRASIL","A100 ROW SERVICOS DE DADOS"
"Accenture Australia","Accenture"
"Accenture UK","Accenture"
"ADEVINTA FRANCE","ADEVINTA"
"ADEVINTA SPAIN","ADEVINTA"
"adidas America","adidas"
"Adobe Systems India","Adobe Systems"
"Adobe Systems Software Ireland","Adobe Systems Software"
"ADP Brasil","ADP"
"ADP GSI FRANCE","ADP GSI"
"Advania Finland","Advania"
"ADVANIA NORGE","ADVANIA"
"Advania Sverige","Advania"
"ADVANIA UK","ADVANIA"
"Affidea Romania","Affidea"
"Africell Angola","Africell"
"Africell Gambia","Africell"
"Africell Sierra Leone","Africell"
"Agilent Technologies Japan","Agilent Technologies"
"AIA Australia","AIA"
"AIA Shared Services (Hong Kong)","AIA Shared Services"
"Airbus Poland","Airbus"
"Airtel Congo","Airtel"
"Airtel Gabon","Airtel"
"Airtel Ghana","Airtel"
"Airtel Madagascar","Airtel"
"Airtel Malawi","Airtel"
"Airtel Networks Kenya","Airtel Networks"
"Airtel Niger","Airtel"
"Airtel Rwanda","Airtel"
"Airtel Tanzania","Airtel"
"Airtel Uganda","Airtel"
"Akuna Capital Australia","Akuna Capital"
"Al Ahli Bank of Kuwait Egypt","Al Ahli Bank of Kuwait"
"Alliance Healthcare Deutschland","Alliance Healthcare"
"Alliance Healthcare Espana","Alliance Healthcare"
"Alliance Healthcare Romania","Alliance Healthcare"
"Allianz Technology of America","Allianz Technology"
"Alpha Bank Romania","Alpha Bank"
"ALSO Bulgaria","ALSO"
"ALSO Polska","ALSO"
"Amazon Data Services Ireland","Amazon Data Services"
"Amazon Data Services Japan","Amazon Data Services"
"AMDOCS (BRASIL)","AMDOCS"
"AMDOCS (ISRAEL)","AMDOCS"
"AMDOCS (UK)","AMDOCS"
"AMDOCS CHILE","AMDOCS"
"AMDOCS DEVELOPMENT CENTRE INDIA","AMDOCS DEVELOPMENT CENTRE"
"American Express Australia","American Express"
"ANSYS Japan","ANSYS"
"AON UK","AON"
"Aptum Technologies (UK)","Aptum Technologies"
"Arista Networks Australia","Arista Networks"
"Arista Networks India","Arista Networks"
"Aristocrat Technologies Australia","Aristocrat Technologies"
"Aristocrat Technologies India","Aristocrat Technologies"
"ARTE FRANCE","ARTE"
"Aryaka Networks India","Aryaka Networks"
"Assured Guaranty UK","Assured Guaranty"
"AT&T Argentina","AT&T"
"AT&T EasyLink Services Australia","AT&T EasyLink Services"
"AT&T Global Network Services Nederland","AT&T Global Network Services"
"AT&T Japan","AT&T"
"Atea Finland","Atea"
"Atea Sverige","Atea"
"ATENTO ARGENTINA","ATENTO"
"ATENTO CHILE","ATENTO"
"Atlantique Telecom (Cote d'Ivoire)","Atlantique Telecom"
"Atlantique Telecom Niger","Atlantique Telecom"
"ATOS (AUSTRALIA)","ATOS"
"Atos Belgium","Atos"
"Atos France","Atos"
"ATOS Information Technology (Singapore)","ATOS Information Technology"
"Atos IT Services UK","Atos IT Services"
"Atos Origin Brasil","Atos Origin"
"Atos Poland","Atos"
"ATOS Spain","ATOS"
"Audatex (Schweiz)","Audatex"
"Audatex (UK)","Audatex"
"AXA Technology Services Asia (HK)","AXA Technology Services Asia"
"AXA Technology Services France","AXA Technology Services"
"AXA Technology Services Germany","AXA Technology Services"
"AXA Technology Services UK","AXA Technology Services"
"Axians IT Services Poland","Axians IT Services"
"Axway Bulgaria","Axway"
"Baidu (Hong Kong)","Baidu"
"Baidu USA","Baidu"
"BANCO AZTECA (PANAMA)","BANCO AZTECA"
"Banco Azteca de Guatemala","Banco Azteca"
"Banco Azteca El Salvador","Banco Azteca"
"Banco Azteca Honduras","Banco Azteca"
"BANCO CREDIT SUISSE (BRASIL)","BANCO CREDIT SUISSE"
"Banco Itau (Suisse)","Banco Itau"
"BANCO ITAU CHILE","BANCO ITAU"
"Banco Itau Paraguay","Banco Itau"
"Banco Santander (Brasil)","Banco Santander"
"BBDO New York","BBDO"
"BBDO NY","BBDO"
"BBIX Australia","BBIX"
"BBIX Europe","BBIX"
"BBIX SINGAPORE","BBIX"
"BBIX USA","BBIX"
"BCD Travel Poland","BCD Travel"
"Bechtle Austria","Bechtle"
"Bechtle Schweiz","Bechtle"
"Beeks Financial Cloud (Japan)","Beeks Financial Cloud"
"Bell Canada","Bell"
"Best Buy Canada","Best Buy"
"Blackboard (Australia)","Blackboard"
"BlueCat Networks (USA)","BlueCat Networks"
"BlueCat Networks USA","BlueCat Networks"
"Bluefin Payment Systems Austria","Bluefin Payment Systems"
"BMC Software Asia Pacific","BMC Software"
"BMC Software India","BMC Software"
"BMC Software Ireland","BMC Software"
"BMC Software Israel","BMC Software"
"BNP Paribas (Suisse)","BNP Paribas"
"BNP Paribas Bank Polska","BNP Paribas Bank"
"Broadridge (Australia)","Broadridge"
"Broadridge (Deutschland)","Broadridge"
"Broadridge Customer Communications Canada","Broadridge Customer Communications"
"Broadridge Financial Solutions India","Broadridge Financial Solutions"
"Cable & Wireless (Barbados)","Cable & Wireless"
"Cable & Wireless (Cayman Islands)","Cable & Wireless"
"Cable & Wireless (Seychelles)","Cable & Wireless"
"Cable & Wireless Dominica","Cable & Wireless"
"Cable & Wireless Jamaica","Cable & Wireless"
"Cable & Wireless Panama","Cable & Wireless"
"Cable and Wireless Jamaica","Cable and Wireless"
"Cable and Wireless Turks and Caicos","Cable and Wireless"
"Calligo (Canada)","Calligo"
"CANCOM Austria","CANCOM"
"Canon Australia","Canon"
"Canon Business Services Australia","Canon Business Services"
"CANON KOREA","CANON"
"Canon USA","Canon"
"Canonical USA","Canonical"
"CAPGEMINI AMERICA","CAPGEMINI"
"Capgemini Australia","Capgemini"
"CAPGEMINI BELGIUM","CAPGEMINI"
"CAPGEMINI BRASIL","CAPGEMINI"
"Capgemini Finland","Capgemini"
"Capgemini Nederland","Capgemini"
"Capgemini New Zealand","Capgemini"
"Capgemini Polska","Capgemini"
"Capgemini Technology Services India","Capgemini Technology Services"
"Capgemini UK","Capgemini"
"Capital IQ Information Systems (india)","Capital IQ Information Systems"
"Capstone Investment Advisors (UK)","Capstone Investment Advisors"
"Castor Networks Mexico","Castor Networks"
"Catalina Marketing Japan","Catalina Marketing"
"Cboe Australia","Cboe"
"Cboe Japan","Cboe"
"Cegal Danmark","Cegal"
"Cengage Learning Australia","Cengage Learning"
"Centric Fiber Florida","Centric Fiber"
"Centric Fiber Texas","Centric Fiber"
"CETIN Bulgaria","CETIN"
"CETIN Hungary","CETIN"
"CGI Deutschland","CGI"
"CGI France","CGI"
"CGI IT Czech Republic","CGI IT"
"CGI Norge","CGI"
"CGI Suomi","CGI"
"CGI Sverige","CGI"
"CGI Technologies and Solutions Australia","CGI Technologies and Solutions"
"Check Point Software Technologies India","Check Point Software Technologies"
"Cheops Technology Switzerland","Cheops Technology"
"CHINA MOBILE INTERNATIONAL (PANAMA)","CHINA MOBILE INTERNATIONAL"
"China Mobile International (Russia)","China Mobile International"
"CHINA MOBILE INTERNATIONAL (THAILAND)","CHINA MOBILE INTERNATIONAL"
"China Mobile International South Africa","China Mobile International"
"China Telecom Europe","China Telecom"
"China Telecom South Africa","China Telecom"
"Chunghwa Telecom (Thailand)","Chunghwa Telecom"
"CIMB Securities (Thailand)","CIMB Securities"
"Cisco Systems Norway","Cisco Systems"
"Citibank Korea","Citibank"
"CITIC Telecom CPC Netherlands","CITIC Telecom CPC"
"CITIC Telecom CPC Rus","CITIC Telecom CPC"
"Civica UK","Civica"
"Claranet Portugal","Claranet"
"Claro Panamá","Claro"
"Cloudflare Hong Kong","Cloudflare"
"Cloudflight Austria","Cloudflight"
"CMC MARKETS ASIA PACIFIC","CMC MARKETS"
"Cognizant Technology Solutions Hungary","Cognizant Technology Solutions"
"Cognizant Technology Solutions India","Cognizant Technology Solutions"
"Cologix Canada","Cologix"
"Colt Technology Services India","Colt Technology Services"
"Colt Technology Services RO","Colt Technology Services"
"Columbia Sportswear Japan","Columbia Sportswear"
"Compass Plus (Great Britain)","Compass Plus"
"CompuGroup Medical Deutschland","CompuGroup Medical"
"Computacenter (UK)","Computacenter"
"Computacenter France","Computacenter"
"Conduent Business Services Malaysia","Conduent Business Services"
"Conduent Business Services Philippines","Conduent Business Services"
"Conscia Nederland","Conscia"
"Conscia Norge","Conscia"
"Copart UK","Copart"
"Covestro Deutschland","Covestro"
"Credit Agricole Bank Polska","Credit Agricole Bank"
"Credit Agricole Egypt","Credit Agricole"
"Credit Agricole Italia","Credit Agricole"
"CTDI Poland","CTDI"
"CYPRESS TELECOM (CHINA)","CYPRESS TELECOM"
"CYPRESS TELECOM (SINGAPORE)","CYPRESS TELECOM"
"Dailymotion Asia Pacific","Dailymotion"
"DBS Bank (Hong Kong)","DBS Bank"
"DBS Bank (Taiwan)","DBS Bank"
"DBS Bank India","DBS Bank"
"DE-CIX BRASIL","DE-CIX"
"DE-CIX INTERCONNECTION MEXICO","DE-CIX INTERCONNECTION"
